tx_power,rssi,data_status,counter,base64_data,receive_time,ppe_id,anchor_id
127,-83,0,185,CAEQ/cfwoZH9mvYpGAMgASoCCAEqBwgCFQAATD4qBwgDFQAATT8=,1743611783.838961,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-67,0,190,CAEQ/cfwoZH9mvYpGAMgASoCCAEqBwgCFQAATD4qBwgDFQAATT8=,1743611783.840313,ble-pd-B43A31EF7527,ble-pd-0C4314F46CC2
127,-85,0,169,CAEQ/cfwoZH9mvYpGAMgASoCCAEqBwgCFQAATD4qBwgDFQAATT8=,1743611783.840635,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ/cfwoZH9mvYpGAMgASoCCAEqBwgCFQAATD4qBwgDFQAATT8=,1743611783.860162,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
127,-74,0,186,CAEQif3Q6Y30gaLKARgFIAEqBwgBFQAAqD0qBwgCFQAAaT8qBwgDFQAAADw=,1743611784.122275,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-66,0,191,CAEQif3Q6Y30gaLKARgFIAEqBwgBFQAAqD0qBwgCFQAAaT8qBwgDFQAAADw=,1743611784.12285,ble-pd-B43A31EB228D,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQif3Q6Y30gaLKARgFIAEqBwgBFQAAqD0qBwgCFQAAaT8qBwgDFQAAADw=,1743611784.142642,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQif3Q6Y30gaLKARgFIAEqBwgBFQAAqD0qBwgCFQAAaT8qBwgDFQAAADw=,1743611784.143646,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQif3Q6Y30gaLKARgFIAEqBwgBFQAAqD0qBwgCFQAAaT8qBwgDFQAAADw=,1743611784.144299,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
127,-64,0,170,CAEQiraglqy3tMUuGAEgASoCCAEqBwgCFQAAYj8qBwgDFQAA8D0=,1743611784.262584,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-72,0,221,CAEQiraglqy3tMUuGAEgASoCCAEqBwgCFQAAYj8qBwgDFQAA8D0=,1743611784.262777,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-64,0,187,CAEQiraglqy3tMUuGAEgASoCCAEqBwgCFQAAYj8qBwgDFQAA8D0=,1743611784.263446,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-83,0,222,CAEQtLSgusDIjYxqGAIgASoCCAEqBwgCFQAAqj4qBwgDFQAAKz8=,1743611784.598155,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQtLSgusDIjYxqGAIgASoCCAEqBwgCFQAAqj4qBwgDFQAAKz8=,1743611784.614883,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQtLSgusDIjYxqGAIgASoCCAEqBwgCFQAAqj4qBwgDFQAAKz8=,1743611784.618119,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQtLSgusDIjYxqGAIgASoCCAEqBwgCFQAAqj4qBwgDFQAAKz8=,1743611784.618643,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
127,-81,0,171,CAEQ1KSe6e3965MOGAMgASoCCAEqBwgCFQAAAD8qBwgDFQAAAD8=,1743611784.847436,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-81,0,188,CAEQ1KSe6e3965MOGAMgASoCCAEqBwgCFQAAAD8qBwgDFQAAAD8=,1743611784.849678,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ1KSe6e3965MOGAMgASoCCAEqBwgCFQAAAD8qBwgDFQAAAD8=,1743611784.854206,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ1KSe6e3965MOGAMgASoCCAEqBwgCFQAAAD8qBwgDFQAAAD8=,1743611784.855864,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ1KSe6e3965MOGAMgASoCCAEqBwgCFQAAAD8qBwgDFQAAAD8=,1743611784.858608,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
127,-87,0,223,CAEQ1KSe6e3965MOGAMgASoCCAEqBwgCFQAAAD8qBwgDFQAAAD8=,1743611784.860861,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-73,0,189,CAEQmMyDi8GLq/HLARgFIAEqAggBKgcIAhUAAH8/KgcIAxUAAIA7,1743611785.123421,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-90,0,172,CAEQmMyDi8GLq/HLARgFIAEqAggBKgcIAhUAAH8/KgcIAxUAAIA7,1743611785.124518,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-84,0,224,CAEQmMyDi8GLq/HLARgFIAEqAggBKgcIAhUAAH8/KgcIAxUAAIA7,1743611785.141482,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQmMyDi8GLq/HLARgFIAEqAggBKgcIAhUAAH8/KgcIAxUAAIA7,1743611785.145108,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQmMyDi8GLq/HLARgFIAEqAggBKgcIAhUAAH8/KgcIAxUAAIA7,1743611785.146859,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQmMyDi8GLq/HLARgFIAEqAggBKgcIAhUAAH8/KgcIAxUAAIA7,1743611785.148223,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
127,-63,0,173,CAEQ4tfr8qb434EHGAEgASoCCAEqBwgCFQAAdz8qBwgDFQAAED0=,1743611785.2719,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-66,0,190,CAEQ4tfr8qb434EHGAEgASoCCAEqBwgCFQAAdz8qBwgDFQAAED0=,1743611785.278026,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ4tfr8qb434EHGAEgASoCCAEqBwgCFQAAdz8qBwgDFQAAED0=,1743611785.281929,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ4tfr8qb434EHGAEgASoCCAEqBwgCFQAAdz8qBwgDFQAAED0=,1743611785.282533,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ4tfr8qb434EHGAEgASoCCAEqBwgCFQAAdz8qBwgDFQAAED0=,1743611785.284232,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-72,0,225,CAEQ4tfr8qb434EHGAEgASoCCAEqBwgCFQAAdz8qBwgDFQAAED0=,1743611785.294961,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-94,0,174,CAEQ957soLas/t6ZARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743611785.594766,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-91,0,191,CAEQ957soLas/t6ZARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743611785.596984,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-85,0,226,CAEQ957soLas/t6ZARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743611785.597983,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQ957soLas/t6ZARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743611785.617362,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ957soLas/t6ZARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743611785.617636,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ957soLas/t6ZARgCIAEqAggBKgcIAhUAAMA9KgcIAxUAAGg/,1743611785.618725,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
127,-77,0,175,CAEQsbPAkZ7BrIZWGAMgASoCCAEqBwgCFQAATT8qBwgDFQAATD4=,1743611785.839323,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-88,0,192,CAEQsbPAkZ7BrIZWGAMgASoCCAEqBwgCFQAATT8qBwgDFQAATD4=,1743611785.839476,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-89,0,227,CAEQsbPAkZ7BrIZWGAMgASoCCAEqBwgCFQAATT8qBwgDFQAATD4=,1743611785.842913,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQsbPAkZ7BrIZWGAMgASoCCAEqBwgCFQAATT8qBwgDFQAATD4=,1743611785.856135,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQsbPAkZ7BrIZWGAMgASoCCAEqBwgCFQAATT8qBwgDFQAATD4=,1743611785.85773,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
127,-84,0,193,CAEQ89mbl8n03fglGAUgASoHCAEVAACUPioHCAIVAAAxPyoHCAMVAACgPA==,1743611786.12194,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-80,0,228,CAEQ89mbl8n03fglGAUgASoHCAEVAACUPioHCAIVAAAxPyoHCAMVAACgPA==,1743611786.123413,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-86,0,176,CAEQ89mbl8n03fglGAUgASoHCAEVAACUPioHCAIVAAAxPyoHCAMVAACgPA==,1743611786.125888,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-68,0,194,CAEQvoPT4+LD/bw0GAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1743611786.269669,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-75,0,229,CAEQvoPT4+LD/bw0GAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1743611786.27332,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-64,0,177,CAEQvoPT4+LD/bw0GAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1743611786.274765,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQvoPT4+LD/bw0GAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1743611786.281744,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQvoPT4+LD/bw0GAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1743611786.283654,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQvoPT4+LD/bw0GAEgASoCCAEqBwgCFQAAeT8qBwgDFQAA4Dw=,1743611786.284459,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
127,-88,0,195,CAEQ0qaHmOegsoUIGAIgASoCCAEqBwgCFQAAqD0qBwgDFQAAaz8=,1743611786.608897,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-84,0,230,CAEQ0qaHmOegsoUIGAIgASoCCAEqBwgCFQAAqD0qBwgDFQAAaz8=,1743611786.609572,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-82,0,178,CAEQ0qaHmOegsoUIGAIgASoCCAEqBwgCFQAAqD0qBwgDFQAAaz8=,1743611786.610123,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ0qaHmOegsoUIGAIgASoCCAEqBwgCFQAAqD0qBwgDFQAAaz8=,1743611786.616067,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ0qaHmOegsoUIGAIgASoCCAEqBwgCFQAAqD0qBwgDFQAAaz8=,1743611786.616166,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ0qaHmOegsoUIGAIgASoCCAEqBwgCFQAAqD0qBwgDFQAAaz8=,1743611786.618338,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
127,-86,0,196,CAEQxtXajen/3/tZGAMgASoCCAEqBwgCFQAAAD0qBwgDFQAAeD8=,1743611786.836876,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-93,0,231,CAEQxtXajen/3/tZGAMgASoCCAEqBwgCFQAAAD0qBwgDFQAAeD8=,1743611786.837508,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-79,0,179,CAEQxtXajen/3/tZGAMgASoCCAEqBwgCFQAAAD0qBwgDFQAAeD8=,1743611786.838012,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
0,-200,0,0,CAEQxtXajen/3/tZGAMgASoCCAEqBwgCFQAAAD0qBwgDFQAAeD8=,1743611786.85839,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
127,-76,0,197,CAEQgKjsjJLRi8EIGAUgASoHCAEVAAB/PyoCCAIqAggD,1743611787.122515,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-77,0,232,CAEQgKjsjJLRi8EIGAUgASoHCAEVAAB/PyoCCAIqAggD,1743611787.124414,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-64,0,180,CAEQ5cTcjImS6vilARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1743611787.263212,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-73,0,233,CAEQ5cTcjImS6vilARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1743611787.263802,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-72,0,198,CAEQ5cTcjImS6vilARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1743611787.264334,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQ5cTcjImS6vilARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1743611787.282842,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ5cTcjImS6vilARgBIAEqAggBKgcIAhUAAHs/KgcIAxUAAKA8,1743611787.283408,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQiqv5w/ft744wGAIgASoCCAEqBwgCFQAACz8qBwgDFQAA6j4=,1743611787.612301,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQiqv5w/ft744wGAIgASoCCAEqBwgCFQAACz8qBwgDFQAA6j4=,1743611787.618735,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
127,-87,0,199,CAEQj5Pgup70sNJ0GAMgASoCCAEqBwgCFQAAND4qBwgDFQAAUz8=,1743611787.837211,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-76,0,181,CAEQj5Pgup70sNJ0GAMgASoCCAEqBwgCFQAAND4qBwgDFQAAUz8=,1743611787.837797,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-89,0,234,CAEQj5Pgup70sNJ0GAMgASoCCAEqBwgCFQAAND4qBwgDFQAAUz8=,1743611787.839821,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQj5Pgup70sNJ0GAMgASoCCAEqBwgCFQAAND4qBwgDFQAAUz8=,1743611787.857396,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQj5Pgup70sNJ0GAMgASoCCAEqBwgCFQAAND4qBwgDFQAAUz8=,1743611787.85904,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQj5Pgup70sNJ0GAMgASoCCAEqBwgCFQAAND4qBwgDFQAAUz8=,1743611787.85961,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
127,-76,0,200,CAEQqbKGtLr1v7DTARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1743611788.12274,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-91,0,182,CAEQqbKGtLr1v7DTARgFIAEqBwgBFQAAfz8qAggCKgIIAw==,1743611788.123382,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-69,0,201,CAEQmcvbyJqKy8V4GAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1743611788.2632,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-72,0,235,CAEQmcvbyJqKy8V4GAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1743611788.26469,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-65,0,183,CAEQmcvbyJqKy8V4GAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1743611788.26611,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQmcvbyJqKy8V4GAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1743611788.28116,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQmcvbyJqKy8V4GAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1743611788.282254,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQmcvbyJqKy8V4GAEgASoCCAEqBwgCFQAAXj8qBwgDFQAACD4=,1743611788.285077,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-88,0,236,CAEQz+Sy54ufpuzqARgCIAEqAggBKgcIAhUAAOA8KgcIAxUAAHk/,1743611788.594024,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
127,-92,0,184,CAEQz+Sy54ufpuzqARgCIAEqAggBKgcIAhUAAOA8KgcIAxUAAHk/,1743611788.60152,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-93,0,202,CAEQz+Sy54ufpuzqARgCIAEqAggBKgcIAhUAAOA8KgcIAxUAAHk/,1743611788.602609,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
0,-200,0,0,CAEQz+Sy54ufpuzqARgCIAEqAggBKgcIAhUAAOA8KgcIAxUAAHk/,1743611788.617806,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
127,-87,0,237,CAEQvMH8puKvlq54GAMgASoCCAEqBwgCFQAAHD4qBwgDFQAAWT8=,1743611788.840011,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-90,0,203,CAEQvMH8puKvlq54GAMgASoCCAEqBwgCFQAAHD4qBwgDFQAAWT8=,1743611788.840909,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-75,0,185,CAEQvMH8puKvlq54GAMgASoCCAEqBwgCFQAAHD4qBwgDFQAAWT8=,1743611788.841745,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
0,-200,0,0,CAEQvMH8puKvlq54GAMgASoCCAEqBwgCFQAAHD4qBwgDFQAAWT8=,1743611788.857374,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQvMH8puKvlq54GAMgASoCCAEqBwgCFQAAHD4qBwgDFQAAWT8=,1743611788.859838,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQvMH8puKvlq54GAMgASoCCAEqBwgCFQAAHD4qBwgDFQAAWT8=,1743611788.861649,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
127,-88,0,186,CAEQns3x7ZWI/t76ARgFIAEqBwgBFQAAfj8qBwgCFQAAgDsqAggD,1743611789.12242,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
127,-81,0,238,CAEQns3x7ZWI/t76ARgFIAEqBwgBFQAAfj8qBwgCFQAAgDsqAggD,1743611789.123067,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-87,0,204,CAEQns3x7ZWI/t76ARgFIAEqBwgBFQAAfj8qBwgCFQAAgDsqAggD,1743611789.1236,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
0,-200,0,0,CAEQns3x7ZWI/t76ARgFIAEqBwgBFQAAfj8qBwgCFQAAgDsqAggD,1743611789.142453,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQns3x7ZWI/t76ARgFIAEqBwgBFQAAfj8qBwgCFQAAgDsqAggD,1743611789.14458,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQns3x7ZWI/t76ARgFIAEqBwgBFQAAfj8qBwgCFQAAgDsqAggD,1743611789.146212,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
127,-76,0,239,CAEQyIbOxODlqP+FARgBIAEqAggBKgcIAhUAAHc/KgcIAxUAABA9,1743611789.262491,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B3F
127,-64,0,187,CAEQyIbOxODlqP+FARgBIAEqAggBKgcIAhUAAHc/KgcIAxUAABA9,1743611789.263064,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
127,-69,0,205,CAEQyIbOxODlqP+FARgBIAEqAggBKgcIAhUAAHc/KgcIAxUAABA9,1743611789.263829,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
0,-200,0,0,CAEQyIbOxODlqP+FARgBIAEqAggBKgcIAhUAAHc/KgcIAxUAABA9,1743611789.282493,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQyIbOxODlqP+FARgBIAEqAggBKgcIAhUAAHc/KgcIAxUAABA9,1743611789.283671,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQyIbOxODlqP+FARgBIAEqAggBKgcIAhUAAHc/KgcIAxUAABA9,1743611789.284363,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
127,-91,0,206,CAEQg5i7ufPb8Nu+ARgCIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1743611789.597389,ble-pd-B43A31EB2289,ble-pd-0C4314F469CC
127,-93,0,188,CAEQg5i7ufPb8Nu+ARgCIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1743611789.599232,ble-pd-B43A31EB2289,ble-pd-0C4314F46B26
127,-82,0,240,CAEQg5i7ufPb8Nu+ARgCIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1743611789.609175,ble-pd-B43A31EB2289,ble-pd-0C4314F46B3F
0,-200,0,0,CAEQg5i7ufPb8Nu+ARgCIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1743611789.615386,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQg5i7ufPb8Nu+ARgCIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1743611789.61687,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQg5i7ufPb8Nu+ARgCIAEqAggBKgcIAhUAADA9KgcIAxUAAHU/,1743611789.618003,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
127,-78,0,189,CAEQs5+0pebfqKmDARgDIAEqAggBKgcIAhUAAAA/KgcIAxUAAAA/,1743611789.837474,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
127,-92,0,241,CAEQs5+0pebfqKmDARgDIAEqAggBKgcIAhUAAAA/KgcIAxUAAAA/,1743611789.838572,ble-pd-B43A31EF7527,ble-pd-0C4314F46B3F
127,-90,0,207,CAEQs5+0pebfqKmDARgDIAEqAggBKgcIAhUAAAA/KgcIAxUAAAA/,1743611789.839156,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
0,-200,0,0,CAEQs5+0pebfqKmDARgDIAEqAggBKgcIAhUAAAA/KgcIAxUAAAA/,1743611789.856787,ble-pd-B43A31EF7527,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQs5+0pebfqKmDARgDIAEqAggBKgcIAhUAAAA/KgcIAxUAAAA/,1743611789.858336,ble-pd-B43A31EF7527,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQs5+0pebfqKmDARgDIAEqAggBKgcIAhUAAAA/KgcIAxUAAAA/,1743611789.859902,ble-pd-B43A31EF7527,ble-pd-D299A0EB1D6C
127,-87,0,208,CAEQjbuBqvvsqaYhGAUgASoHCAEVAABnPyoHCAIVAACoPSoHCAMVAACAPA==,1743611790.122476,ble-pd-B43A31EB228D,ble-pd-0C4314F469CC
127,-92,0,242,CAEQjbuBqvvsqaYhGAUgASoHCAEVAABnPyoHCAIVAACoPSoHCAMVAACAPA==,1743611790.123809,ble-pd-B43A31EB228D,ble-pd-0C4314F46B3F
127,-84,0,190,CAEQjbuBqvvsqaYhGAUgASoHCAEVAABnPyoHCAIVAACoPSoHCAMVAACAPA==,1743611790.124383,ble-pd-B43A31EB228D,ble-pd-0C4314F46B26
0,-200,0,0,CAEQjbuBqvvsqaYhGAUgASoHCAEVAABnPyoHCAIVAACoPSoHCAMVAACAPA==,1743611790.141758,ble-pd-B43A31EB228D,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQjbuBqvvsqaYhGAUgASoHCAEVAABnPyoHCAIVAACoPSoHCAMVAACAPA==,1743611790.142334,ble-pd-B43A31EB228D,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQjbuBqvvsqaYhGAUgASoHCAEVAABnPyoHCAIVAACoPSoHCAMVAACAPA==,1743611790.146157,ble-pd-B43A31EB228D,ble-pd-C299A0EB1D6C
127,-71,0,209,CAEQ24Sl5bOZ9+dlGAEgASoCCAEqBwgCFQAALD8qBwgDFQAAqD4=,1743611790.263286,ble-pd-B43A31EF7B26,ble-pd-0C4314F469CC
127,-50,0,216,CAEQ24Sl5bOZ9+dlGAEgASoCCAEqBwgCFQAALD8qBwgDFQAAqD4=,1743611790.263864,ble-pd-B43A31EF7B26,ble-pd-0C4314F46CC2
127,-63,0,191,CAEQ24Sl5bOZ9+dlGAEgASoCCAEqBwgCFQAALD8qBwgDFQAAqD4=,1743611790.271315,ble-pd-B43A31EF7B26,ble-pd-0C4314F46B26
0,-200,0,0,CAEQ24Sl5bOZ9+dlGAEgASoCCAEqBwgCFQAALD8qBwgDFQAAqD4=,1743611790.284448,ble-pd-B43A31EF7B26,ble-pd-C299A0EB1D6C
0,-200,0,0,CAEQ24Sl5bOZ9+dlGAEgASoCCAEqBwgCFQAALD8qBwgDFQAAqD4=,1743611790.285005,ble-pd-B43A31EF7B26,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ24Sl5bOZ9+dlGAEgASoCCAEqBwgCFQAALD8qBwgDFQAAqD4=,1743611790.286365,ble-pd-B43A31EF7B26,ble-pd-639AA0EB1D6C
127,-84,0,217,CAEQ6fuH5IGb19JSGAIgASoCCAEqBwgCFQAAcD0qBwgDFQAAcT8=,1743611790.602123,ble-pd-B43A31EB2289,ble-pd-0C4314F46CC2
0,-200,0,0,CAEQ6fuH5IGb19JSGAIgASoCCAEqBwgCFQAAcD0qBwgDFQAAcT8=,1743611790.616913,ble-pd-B43A31EB2289,ble-pd-639AA0EB1D6C
0,-200,0,0,CAEQ6fuH5IGb19JSGAIgASoCCAEqBwgCFQAAcD0qBwgDFQAAcT8=,1743611790.618761,ble-pd-B43A31EB2289,ble-pd-D299A0EB1D6C
0,-200,0,0,CAEQ6fuH5IGb19JSGAIgASoCCAEqBwgCFQAAcD0qBwgDFQAAcT8=,1743611790.619306,ble-pd-B43A31EB2289,ble-pd-C299A0EB1D6C
127,-85,0,210,CAEQuoHdxrn0u67zARgDIAEqAggBKgcIAhUAADQ+KgcIAxUAAFM/,1743611790.838148,ble-pd-B43A31EF7527,ble-pd-0C4314F469CC
127,-73,0,218,CAEQuoHdxrn0u67zARgDIAEqAggBKgcIAhUAADQ+KgcIAxUAAFM/,1743611790.838723,ble-pd-B43A31EF7527,ble-pd-0C4314F46CC2
127,-75,0,192,CAEQuoHdxrn0u67zARgDIAEqAggBKgcIAhUAADQ+KgcIAxUAAFM/,1743611790.839246,ble-pd-B43A31EF7527,ble-pd-0C4314F46B26
